system:index,RH_min,Tmax_C,Tmin_C,month,year,.geo
0,91.40810823626389,18.751319413078907,11.248683735669141,1.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,88.01454117285084,19.348316528833607,10.918546364951123,2.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,93.21324552364096,18.90748181374304,11.580642545233117,3.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,95.39135748482796,18.58983680510552,11.784516051199743,4.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,94.02489952602375,18.64166395597656,11.67599582548147,5.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,91.5512195500566,18.776217639798098,10.85141675312683,6.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,91.14481372668958,18.57066629041674,11.154044984418476,7.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,90.92919099568843,18.76264597681984,11.106604092844586,8.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,90.29040486941534,19.607541661915818,10.748670938494726,9.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,93.92832222476164,19.201555771221294,11.361715308100967,10.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,91.93401820354173,19.696897553878358,11.419121829732923,11.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,91.78854421290946,19.326515043702205,11.280173013219397,12.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,87.42506075833782,20.230240794924047,11.208176743065954,1.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,90.75718830121909,19.597090857193272,12.10699684030506,2.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,91.7299889177073,20.11141587677474,12.28841781609066,3.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,92.54681553492478,19.909372716063285,12.491892429144544,4.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,94.74060492861692,18.71981616193136,12.150868569544787,5.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,92.54797883819741,18.799068998763218,11.527176912649239,6.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,90.72991933565896,18.477402298974617,10.894473203795167,7.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,92.06222946793474,18.690775989875416,11.344067636741167,8.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,91.83148266174008,19.389122866680804,10.940098265040474,9.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,91.71081496096525,19.402876640378306,11.062395986354728,10.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,94.33686531970537,18.955080884779747,11.402011242923885,11.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,92.50303354519276,18.925430944281505,11.153843854971884,12.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,89.16843336184374,19.267745702970185,11.375856362415563,1.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,89.89376411658748,19.648688587284337,11.812687691568012,2.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,90.89410898627075,19.71646252415929,12.048801824605663,3.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,91.71330667124153,19.63481541884415,12.130842824354986,4.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,93.10869341658186,19.305620989331803,12.050528993784061,5.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,91.59563061822608,18.91703848680508,11.914317635214362,6.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,90.07364360320592,19.03307373330244,11.333770659829998,7.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,89.61755951241564,19.01238665185721,11.054965293517741,8.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,90.87247658610808,19.648351762625797,10.901331143738256,9.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,93.3264950663137,19.10263939240358,11.218395595826427,10.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,94.31493727095175,19.102601087458634,11.487691687300323,11.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,90.71729730201227,19.488912563967332,10.90857743112923,12.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,87.90080681723809,19.41442292865653,10.755631054305999,1.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,89.57079983197191,19.789919917829987,11.693891984121711,2.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,91.3923282462965,19.699534175802007,12.112303826788422,3.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,93.2128037449902,19.227874121061678,12.129706279613837,4.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,91.35821234402476,19.583776113249062,12.114499419995761,5.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,91.76252633239925,18.721455851296056,12.008145280228096,6.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,91.03667635885301,18.894921740543168,11.701393560304226,7.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,89.90264331736249,19.6080474171228,11.505674220773276,8.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,88.94966155986596,20.3444217680851,11.119821018003298,9.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,91.05260431843429,20.057079439616324,11.848167641771244,10.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,93.91955134422227,19.19895156219453,11.974251597698396,11.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,89.93023912040046,20.008103789195054,11.511750892256089,12.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,85.58775439969108,21.316743574921436,12.074872798401396,1.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,87.48016566149929,20.970646198846488,12.91990379607056,2.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,88.26078023613687,21.43617276807431,13.382470362797738,3.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,94.36268775955114,20.129438087753467,13.181707246894057,4.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,94.47271088453392,19.344772276885575,12.732367165897086,5.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,92.377799732423,18.727710785473267,11.63188902666032,6.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,91.79814254554975,18.669017441786682,11.46212308525299,7.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,90.32257211789776,19.79369192065664,11.26777101960432,8.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,91.17482482353644,19.6973502828629,11.277358265118776,9.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,93.59960208947378,19.72674438792595,11.716064004595298,10.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,94.58103414336739,19.52335314338903,11.770790126408702,11.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,93.11683539235592,18.95603298569282,11.687851315414648,12.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,91.88394471121677,18.921988401427402,11.304061510539782,1.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,87.35071240708282,20.2246935408603,11.372989835265045,2.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,94.08069325642606,19.17824427132376,12.028647249154725,3.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,91.74377249042156,19.904952457073026,11.827156241359067,4.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,93.49001858566747,19.36845108343971,12.185692135176742,5.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,92.9050127288402,19.007101731825518,12.097976363226516,6.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,91.830176881044,18.53238431059334,11.529621328167943,7.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,90.26047769223209,19.71074253206554,11.097062862251969,8.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,90.6151319969579,19.989875992460522,11.436761239320665,9.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,90.43309881215929,19.730836300124366,11.530649308399775,10.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,93.46390798791316,19.492034140811672,11.870115800036656,11.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,88.75042437102407,19.779799840610718,11.002015993758807,12.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,90.76144181203274,19.093197544285875,11.029439711744354,1.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,86.89886013148228,19.842121601044845,11.45759281752227,2.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,89.8832016513016,20.223330973583852,11.52913456306679,3.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,94.42660245449744,18.81670429130057,11.818054102978484,4.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,94.1608277329723,18.755741662485462,12.101457245709689,5.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,91.73445587441272,18.593274135695616,11.565983972031285,6.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,90.3918358983266,18.769352852406964,11.224636806064888,7.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,88.61287533332582,19.197072354643343,10.507280567609321,8.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,91.94043622798006,19.64475490488744,11.095123679293073,9.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,94.4807497886797,19.261868506481974,11.787205611135935,10.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,93.94703414950003,19.4280030266704,12.007765313832966,11.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,87.68296897941451,19.678835083911018,10.661514072036207,12.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,88.29366439686783,19.971902825281067,11.322163776979504,1.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,87.44802408551288,20.478745507974153,12.467306399735595,2.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,91.7106877206177,19.922871750453062,12.640717959700861,3.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,93.53279473507443,19.70360253771237,12.620731566446166,4.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,93.16387807529247,19.532774217423153,12.417012488318404,5.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,91.89096629245375,19.04301346393525,12.134280422561423,6.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,89.57635593902123,19.05633787394959,11.294865547711304,7.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,88.42986513185905,19.388689388948293,10.921462643876094,8.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,89.17093247591212,20.277292726035494,11.340930450182087,9.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,91.97451848679299,19.259572209137616,11.239250388947346,10.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,93.5111551578662,19.50304198325965,11.801983946454408,11.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,91.04712257746327,19.82773180018219,11.75465529777939,12.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
